"DATE_HEURE";"BT";"GT";"MG";"Da";"Dcr"
"03/26/2018 12:33:09";1;0;0;1;0
"03/26/2018 12:33:24";1;0;1;1;0
"03/26/2018 12:33:29";1;1;1;1;0
"03/26/2018 12:34:39";1;0;0;1;0
"03/26/2018 12:56:11";1;0;1;1;0
"03/26/2018 12:56:17";1;1;1;1;0
"03/26/2018 12:56:24";1;1;0;1;0
"03/26/2018 12:56:31";1;1;1;1;0
"03/26/2018 13:44:27";1;1;1;1;0
"03/26/2018 13:50:13";1;1;0;1;0
"03/26/2018 13:53:40";1;1;0;1;0
"03/26/2018 14:14:17";1;1;0;1;0
"03/26/2018 14:17:04";1;1;1;1;0
"03/26/2018 14:22:02";1;1;0;1;0
"03/26/2018 14:23:22";1;1;0;1;0
"03/26/2018 14:25:38";1;1;0;1;0
"03/26/2018 14:26:24";1;1;0;1;0
"03/26/2018 14:40:54";1;1;0;1;0
"03/26/2018 14:41:16";1;1;1;1;0
"03/26/2018 14:43:26";1;1;0;1;0
"03/26/2018 14:44:45";1;1;0;1;0
"03/26/2018 14:47:07";1;1;0;1;0
"03/26/2018 14:47:14";1;1;0;1;0
"03/26/2018 14:47:21";1;1;0;1;0
"03/26/2018 14:47:32";1;1;0;1;1
"03/26/2018 14:47:34";1;1;0;1;1
"03/26/2018 14:47:34";1;1;0;1;1
"03/26/2018 14:47:38";1;1;0;1;1
"03/26/2018 14:52:20";1;1;0;1;0
"03/26/2018 15:05:50";1;0;0;1;1
"03/26/2018 15:05:52";1;0;0;1;1
"03/26/2018 15:06:03";1;0;0;1;1
"03/26/2018 15:06:09";1;1;1;1;1
"03/26/2018 15:06:12";1;1;1;1;1
"03/26/2018 15:06:16";1;1;1;1;1
"03/26/2018 15:08:47";1;1;0;1;0
"03/27/2018 11:48:26";1;1;0;1;0
"03/27/2018 18:40:41";1;1;0;1;0
"03/28/2018 08:49:15";1;1;1;1;0
"03/28/2018 09:01:27";1;1;1;1;0
"03/28/2018 09:01:29";1;1;1;1;0
"03/28/2018 09:01:34";1;1;1;1;0
"03/28/2018 10:11:40";1;0;0;1;0
"03/28/2018 10:13:04";1;0;0;1;0
"03/28/2018 10:17:10";1;1;0;1;0
"03/28/2018 10:17:12";1;1;0;1;0
